MN P3 ExParcial 1Q 2024-25
Question 4

       Nod.           X              U     
    __________    __________    ___________
    1.0000e+00    0.0000e+00     0.0000e+00
    2.0000e+00    2.7273e+02    -2.5244e-03
    3.0000e+00    5.4545e+02    -5.0132e-03
    4.0000e+00    8.1818e+02    -7.4663e-03
    5.0000e+00    1.0909e+03    -9.8836e-03
    6.0000e+00    1.3636e+03    -1.2265e-02
    7.0000e+00    1.6364e+03    -1.4611e-02
    8.0000e+00    1.9091e+03    -1.6920e-02
    9.0000e+00    2.1818e+03    -1.9194e-02
    1.0000e+01    2.4545e+03    -2.1431e-02
    1.1000e+01    2.7273e+03    -2.3632e-02
    1.2000e+01    3.0000e+03    -2.5797e-02
    1.3000e+01    3.2727e+03    -2.7925e-02
    1.4000e+01    3.5455e+03    -3.0017e-02
    1.5000e+01    3.8182e+03    -3.2073e-02
    1.6000e+01    4.0909e+03    -3.4091e-02
    1.7000e+01    4.3636e+03    -3.6073e-02
    1.8000e+01    4.6364e+03    -3.8018e-02
    1.9000e+01    4.9091e+03    -3.9926e-02
    2.0000e+01    5.1818e+03    -4.1797e-02
    2.1000e+01    5.4545e+03    -4.3631e-02
    2.2000e+01    5.7273e+03    -4.5427e-02
    2.3000e+01    6.0000e+03    -4.7186e-02
    2.4000e+01    6.2727e+03    -4.8907e-02
    2.5000e+01    6.5455e+03    -5.0591e-02
    2.6000e+01    6.8182e+03    -5.2236e-02
    2.7000e+01    7.0909e+03    -5.3843e-02
    2.8000e+01    7.3636e+03    -5.5412e-02
    2.9000e+01    7.6364e+03    -5.6943e-02
    3.0000e+01    7.9091e+03    -5.8435e-02
    3.1000e+01    8.1818e+03    -5.9888e-02
    3.2000e+01    8.4545e+03    -6.1301e-02
    3.3000e+01    8.7273e+03    -6.2676e-02
    3.4000e+01    9.0000e+03    -6.4011e-02
    3.5000e+01    9.2727e+03    -6.5306e-02
    3.6000e+01    9.5455e+03    -6.6561e-02
    3.7000e+01    9.8182e+03    -6.7775e-02
    3.8000e+01    1.0091e+04    -6.8949e-02
    3.9000e+01    1.0364e+04    -7.0082e-02
    4.0000e+01    1.0636e+04    -7.1173e-02
    4.1000e+01    1.0909e+04    -7.2222e-02
    4.2000e+01    1.1182e+04    -7.3230e-02
    4.3000e+01    1.1455e+04    -7.4194e-02
    4.4000e+01    1.1727e+04    -7.5116e-02
    4.5000e+01    1.2000e+04    -7.5994e-02
    4.6000e+01    1.2273e+04    -7.6827e-02
    4.7000e+01    1.2545e+04    -7.7616e-02
    4.8000e+01    1.2818e+04    -7.8360e-02
    4.9000e+01    1.3091e+04    -7.9057e-02
    5.0000e+01    1.3364e+04    -7.9707e-02
    5.1000e+01    1.3636e+04    -8.0310e-02
    5.2000e+01    1.3909e+04    -8.0864e-02
    5.3000e+01    1.4182e+04    -8.1369e-02
    5.4000e+01    1.4455e+04    -8.1823e-02
    5.5000e+01    1.4727e+04    -8.2225e-02
    5.6000e+01    1.5000e+04    -8.2573e-02

Solutions
(a) <u> ≈ -5.1080e-02 mm. Hint. u(15000.00) ≈ U(56) = -8.2573e-02 mm
(b) Interpolated value of u at x = 7500.00 (mm): u(7500.00) ≈ -5.6178e-02 mm
(c) Required w =  1.965951e-09 kN/mm^3,
	   err := ||U(midpoint) - 0.5 U(top)|| = 2.60e-18 mm
