MN P3 ExParcial 1Q 2024-25
Question 3

       Nod.           X              U     
    __________    __________    ___________
    1.0000e+00    0.0000e+00     0.0000e+00
    2.0000e+00    2.7273e+02    -2.5146e-03
    3.0000e+00    5.4545e+02    -4.9935e-03
    4.0000e+00    8.1818e+02    -7.4365e-03
    5.0000e+00    1.0909e+03    -9.8436e-03
    6.0000e+00    1.3636e+03    -1.2215e-02
    7.0000e+00    1.6364e+03    -1.4550e-02
    8.0000e+00    1.9091e+03    -1.6849e-02
    9.0000e+00    2.1818e+03    -1.9112e-02
    1.0000e+01    2.4545e+03    -2.1338e-02
    1.1000e+01    2.7273e+03    -2.3528e-02
    1.2000e+01    3.0000e+03    -2.5682e-02
    1.3000e+01    3.2727e+03    -2.7799e-02
    1.4000e+01    3.5455e+03    -2.9879e-02
    1.5000e+01    3.8182e+03    -3.1923e-02
    1.6000e+01    4.0909e+03    -3.3930e-02
    1.7000e+01    4.3636e+03    -3.5900e-02
    1.8000e+01    4.6364e+03    -3.7833e-02
    1.9000e+01    4.9091e+03    -3.9729e-02
    2.0000e+01    5.1818e+03    -4.1587e-02
    2.1000e+01    5.4545e+03    -4.3408e-02
    2.2000e+01    5.7273e+03    -4.5191e-02
    2.3000e+01    6.0000e+03    -4.6937e-02
    2.4000e+01    6.2727e+03    -4.8645e-02
    2.5000e+01    6.5455e+03    -5.0314e-02
    2.6000e+01    6.8182e+03    -5.1946e-02
    2.7000e+01    7.0909e+03    -5.3539e-02
    2.8000e+01    7.3636e+03    -5.5094e-02
    2.9000e+01    7.6364e+03    -5.6610e-02
    3.0000e+01    7.9091e+03    -5.8087e-02
    3.1000e+01    8.1818e+03    -5.9524e-02
    3.2000e+01    8.4545e+03    -6.0923e-02
    3.3000e+01    8.7273e+03    -6.2281e-02
    3.4000e+01    9.0000e+03    -6.3600e-02
    3.5000e+01    9.2727e+03    -6.4879e-02
    3.6000e+01    9.5455e+03    -6.6117e-02
    3.7000e+01    9.8182e+03    -6.7314e-02
    3.8000e+01    1.0091e+04    -6.8471e-02
    3.9000e+01    1.0364e+04    -6.9586e-02
    4.0000e+01    1.0636e+04    -7.0659e-02
    4.1000e+01    1.0909e+04    -7.1689e-02
    4.2000e+01    1.1182e+04    -7.2677e-02
    4.3000e+01    1.1455e+04    -7.3622e-02
    4.4000e+01    1.1727e+04    -7.4524e-02
    4.5000e+01    1.2000e+04    -7.5381e-02
    4.6000e+01    1.2273e+04    -7.6194e-02
    4.7000e+01    1.2545e+04    -7.6961e-02
    4.8000e+01    1.2818e+04    -7.7682e-02
    4.9000e+01    1.3091e+04    -7.8356e-02
    5.0000e+01    1.3364e+04    -7.8983e-02
    5.1000e+01    1.3636e+04    -7.9562e-02
    5.2000e+01    1.3909e+04    -8.0091e-02
    5.3000e+01    1.4182e+04    -8.0569e-02
    5.4000e+01    1.4455e+04    -8.0996e-02
    5.5000e+01    1.4727e+04    -8.1371e-02
    5.6000e+01    1.5000e+04    -8.1691e-02

Solutions
(a) <u> ≈ -5.0716e-02 mm. Hint. u(15000.00) ≈ U(56) = -8.1691e-02 mm
(b) Interpolated value of u at x = 7500.00 (mm): u(7500.00) ≈ -5.5852e-02 mm
(c) Required w =  1.787228e-09 kN/mm^3,
	   err := ||U(midpoint) - 0.5 U(top)|| = 8.67e-19 mm
