MN P3 ExParcial 1Q 2024-25
Question 2

       Nod.           X              U     
    __________    __________    ___________
    1.0000e+00    0.0000e+00     0.0000e+00
    2.0000e+00    2.7273e+02    -2.5048e-03
    3.0000e+00    5.4545e+02    -4.9738e-03
    4.0000e+00    8.1818e+02    -7.4068e-03
    5.0000e+00    1.0909e+03    -9.8037e-03
    6.0000e+00    1.3636e+03    -1.2165e-02
    7.0000e+00    1.6364e+03    -1.4489e-02
    8.0000e+00    1.9091e+03    -1.6778e-02
    9.0000e+00    2.1818e+03    -1.9030e-02
    1.0000e+01    2.4545e+03    -2.1245e-02
    1.1000e+01    2.7273e+03    -2.3424e-02
    1.2000e+01    3.0000e+03    -2.5567e-02
    1.3000e+01    3.2727e+03    -2.7673e-02
    1.4000e+01    3.5455e+03    -2.9742e-02
    1.5000e+01    3.8182e+03    -3.1774e-02
    1.6000e+01    4.0909e+03    -3.3769e-02
    1.7000e+01    4.3636e+03    -3.5727e-02
    1.8000e+01    4.6364e+03    -3.7647e-02
    1.9000e+01    4.9091e+03    -3.9531e-02
    2.0000e+01    5.1818e+03    -4.1377e-02
    2.1000e+01    5.4545e+03    -4.3185e-02
    2.2000e+01    5.7273e+03    -4.4955e-02
    2.3000e+01    6.0000e+03    -4.6688e-02
    2.4000e+01    6.2727e+03    -4.8382e-02
    2.5000e+01    6.5455e+03    -5.0038e-02
    2.6000e+01    6.8182e+03    -5.1656e-02
    2.7000e+01    7.0909e+03    -5.3235e-02
    2.8000e+01    7.3636e+03    -5.4775e-02
    2.9000e+01    7.6364e+03    -5.6277e-02
    3.0000e+01    7.9091e+03    -5.7739e-02
    3.1000e+01    8.1818e+03    -5.9161e-02
    3.2000e+01    8.4545e+03    -6.0544e-02
    3.3000e+01    8.7273e+03    -6.1887e-02
    3.4000e+01    9.0000e+03    -6.3190e-02
    3.5000e+01    9.2727e+03    -6.4452e-02
    3.6000e+01    9.5455e+03    -6.5673e-02
    3.7000e+01    9.8182e+03    -6.6854e-02
    3.8000e+01    1.0091e+04    -6.7993e-02
    3.9000e+01    1.0364e+04    -6.9090e-02
    4.0000e+01    1.0636e+04    -7.0144e-02
    4.1000e+01    1.0909e+04    -7.1156e-02
    4.2000e+01    1.1182e+04    -7.2125e-02
    4.3000e+01    1.1455e+04    -7.3051e-02
    4.4000e+01    1.1727e+04    -7.3932e-02
    4.5000e+01    1.2000e+04    -7.4769e-02
    4.6000e+01    1.2273e+04    -7.5560e-02
    4.7000e+01    1.2545e+04    -7.6306e-02
    4.8000e+01    1.2818e+04    -7.7004e-02
    4.9000e+01    1.3091e+04    -7.7656e-02
    5.0000e+01    1.3364e+04    -7.8259e-02
    5.1000e+01    1.3636e+04    -7.8813e-02
    5.2000e+01    1.3909e+04    -7.9317e-02
    5.3000e+01    1.4182e+04    -7.9770e-02
    5.4000e+01    1.4455e+04    -8.0170e-02
    5.5000e+01    1.4727e+04    -8.0516e-02
    5.6000e+01    1.5000e+04    -8.0808e-02

Solutions
(a) <u> ≈ -5.0353e-02 mm. Hint. u(15000.00) ≈ U(56) = -8.0808e-02 mm
(b) Interpolated value of u at x = 7500.00 (mm): u(7500.00) ≈ -5.5526e-02 mm
(c) Required w =  1.608505e-09 kN/mm^3,
	   err := ||U(midpoint) - 0.5 U(top)|| = 0.00e+00 mm
