MN P3 ExParcial 1Q 2024-25
Question 5

       Nod.           X              U     
    __________    __________    ___________
    1.0000e+00    0.0000e+00     0.0000e+00
    2.0000e+00    2.7273e+02    -2.5342e-03
    3.0000e+00    5.4545e+02    -5.0329e-03
    4.0000e+00    8.1818e+02    -7.4960e-03
    5.0000e+00    1.0909e+03    -9.9235e-03
    6.0000e+00    1.3636e+03    -1.2315e-02
    7.0000e+00    1.6364e+03    -1.4671e-02
    8.0000e+00    1.9091e+03    -1.6991e-02
    9.0000e+00    2.1818e+03    -1.9276e-02
    1.0000e+01    2.4545e+03    -2.1524e-02
    1.1000e+01    2.7273e+03    -2.3736e-02
    1.2000e+01    3.0000e+03    -2.5912e-02
    1.3000e+01    3.2727e+03    -2.8052e-02
    1.4000e+01    3.5455e+03    -3.0155e-02
    1.5000e+01    3.8182e+03    -3.2222e-02
    1.6000e+01    4.0909e+03    -3.4253e-02
    1.7000e+01    4.3636e+03    -3.6247e-02
    1.8000e+01    4.6364e+03    -3.8204e-02
    1.9000e+01    4.9091e+03    -4.0124e-02
    2.0000e+01    5.1818e+03    -4.2008e-02
    2.1000e+01    5.4545e+03    -4.3854e-02
    2.2000e+01    5.7273e+03    -4.5663e-02
    2.3000e+01    6.0000e+03    -4.7435e-02
    2.4000e+01    6.2727e+03    -4.9170e-02
    2.5000e+01    6.5455e+03    -5.0867e-02
    2.6000e+01    6.8182e+03    -5.2526e-02
    2.7000e+01    7.0909e+03    -5.4148e-02
    2.8000e+01    7.3636e+03    -5.5731e-02
    2.9000e+01    7.6364e+03    -5.7276e-02
    3.0000e+01    7.9091e+03    -5.8783e-02
    3.1000e+01    8.1818e+03    -6.0251e-02
    3.2000e+01    8.4545e+03    -6.1680e-02
    3.3000e+01    8.7273e+03    -6.3070e-02
    3.4000e+01    9.0000e+03    -6.4421e-02
    3.5000e+01    9.2727e+03    -6.5733e-02
    3.6000e+01    9.5455e+03    -6.7004e-02
    3.7000e+01    9.8182e+03    -6.8236e-02
    3.8000e+01    1.0091e+04    -6.9427e-02
    3.9000e+01    1.0364e+04    -7.0578e-02
    4.0000e+01    1.0636e+04    -7.1687e-02
    4.1000e+01    1.0909e+04    -7.2755e-02
    4.2000e+01    1.1182e+04    -7.3782e-02
    4.3000e+01    1.1455e+04    -7.4766e-02
    4.4000e+01    1.1727e+04    -7.5708e-02
    4.5000e+01    1.2000e+04    -7.6606e-02
    4.6000e+01    1.2273e+04    -7.7461e-02
    4.7000e+01    1.2545e+04    -7.8271e-02
    4.8000e+01    1.2818e+04    -7.9037e-02
    4.9000e+01    1.3091e+04    -7.9757e-02
    5.0000e+01    1.3364e+04    -8.0432e-02
    5.1000e+01    1.3636e+04    -8.1059e-02
    5.2000e+01    1.3909e+04    -8.1638e-02
    5.3000e+01    1.4182e+04    -8.2168e-02
    5.4000e+01    1.4455e+04    -8.2649e-02
    5.5000e+01    1.4727e+04    -8.3079e-02
    5.6000e+01    1.5000e+04    -8.3456e-02

Solutions
(a) <u> ≈ -5.1444e-02 mm. Hint. u(15000.00) ≈ U(56) = -8.3456e-02 mm
(b) Interpolated value of u at x = 7500.00 (mm): u(7500.00) ≈ -5.6503e-02 mm
(c) Required w =  2.144674e-09 kN/mm^3,
	   err := ||U(midpoint) - 0.5 U(top)|| = 1.73e-18 mm
